category,skus,active_skus,out_of_stock_skus,total_units,inventory_value_rupees,avg_mrp_rupees,avg_selling_price_rupees,avg_discount_percent,avg_price_per_gram,out_of_stock_rate
Cooking Essentials,514,450,64,2186,337369.0,156.54,140.83,7.16,0.84,0.1245
Munchies,514,450,64,2186,337369.0,156.54,140.83,7.16,0.84,0.1245
Paan Corner,342,321,21,1453,269726.0,207.02,189.61,6.26,1.85,0.0614
Personal Care,342,321,21,1453,269726.0,207.02,189.61,6.26,1.85,0.0614
Chocolates & Candies,388,343,45,1521,224385.0,155.73,141.08,8.32,0.61,0.116
Ice Cream & Desserts,388,343,45,1521,224385.0,155.73,141.08,8.32,0.61,0.116
Packaged Food,388,343,45,1521,224385.0,155.73,141.08,8.32,0.61,0.116
Home & Cleaning,193,174,19,838,122661.0,152.94,142.18,5.7,1.16,0.0984
Health & Hygiene,97,84,13,425,64180.0,159.18,145.86,8.05,1.82,0.134
Beverages,129,101,28,485,55051.0,118.71,103.73,7.16,0.41,0.2171
"Dairy, Bread & Batter",129,101,28,485,55051.0,118.71,103.73,7.16,0.41,0.2171
Biscuits,147,105,42,448,25007.6,59.49,52.78,8.24,0.36,0.2857
"Meats, Fish & Eggs",63,51,12,152,20693.0,187.29,164.1,11.03,0.49,0.1905
Fruits & Vegetables,93,87,6,275,10846.0,47.01,39.84,15.46,0.25,0.0645
